[16:32:17.943] [INFO] ScreenCaptureService onCreate
[16:32:17.945] [INFO] onStartCommand engine=NCNN resultCode=-1
[16:32:17.991] [INFO] Model loaded: NCNN
[16:32:18.007] [INFO] Detection started, resolution=1264x2780
[16:32:18.133] [PERF] latency=82ms, fps=1.0, objects=0
[16:32:18.211] [PERF] latency=54ms, fps=2.0, objects=0
[16:32:18.303] [PERF] latency=64ms, fps=3.0, objects=0
[16:32:18.380] [PERF] latency=55ms, fps=4.0, objects=0
[16:32:18.459] [PERF] latency=60ms, fps=5.0, objects=0
[16:32:18.621] [PERF] latency=138ms, fps=6.0, objects=0
[16:32:18.724] [PERF] latency=82ms, fps=7.0, objects=0
[16:32:18.849] [PERF] latency=87ms, fps=8.0, objects=0
[16:32:18.951] [PERF] latency=74ms, fps=9.0, objects=0
[16:32:19.062] [PERF] latency=78ms, fps=10.0, objects=0
[16:32:19.179] [PERF] latency=87ms, fps=10.0, objects=0
[16:32:19.276] [PERF] latency=69ms, fps=10.0, objects=0
[16:32:19.489] [PERF] latency=157ms, fps=8.0, objects=0
[16:32:19.692] [PERF] latency=165ms, fps=8.0, objects=0
[16:32:19.895] [PERF] latency=160ms, fps=7.0, objects=0
[16:32:19.989] [PERF] latency=73ms, fps=7.0, objects=0
[16:32:20.160] [PERF] latency=140ms, fps=7.0, objects=0
[16:32:20.330] [PERF] latency=146ms, fps=6.0, objects=0
[16:32:20.456] [PERF] latency=103ms, fps=7.0, objects=0
[16:32:20.543] [PERF] latency=50ms, fps=7.0, objects=0
[16:32:20.654] [PERF] latency=88ms, fps=8.0, objects=0
[16:32:20.753] [PERF] latency=63ms, fps=8.0, objects=0
[16:32:20.838] [PERF] latency=66ms, fps=9.0, objects=0
[16:32:20.913] [PERF] latency=46ms, fps=9.0, objects=0
[16:32:20.989] [PERF] latency=55ms, fps=10.0, objects=0
[16:32:21.060] [PERF] latency=45ms, fps=10.0, objects=0
[16:32:21.130] [PERF] latency=45ms, fps=11.0, objects=0
[16:32:21.185] [PERF] latency=36ms, fps=11.0, objects=0
[16:32:21.336] [PERF] latency=122ms, fps=11.0, objects=0
[16:32:21.436] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:21.509] [PERF] latency=40ms, fps=12.0, objects=0
[16:32:21.585] [PERF] latency=48ms, fps=12.0, objects=0
[16:32:21.679] [PERF] latency=65ms, fps=12.0, objects=0
